タイムスタンプ,日付,就寝時間,起床時間,昼寝の時間,寝つきの良さ,寝起きの良さ,日中の眠気,目が覚めた回数
2025/12/24 11:45:12,2025/12/08,0:00:00,7:00:00,0:00:00,2,2,3,
2025/12/24 11:46:09,2025/12/09,0:00:00,6:30:00,0:00:00,4,2,2,0.0
2025/12/24 11:47:04,2025/12/10,0:00:00,8:30:00,0:00:00,4,1,2,0.0
2025/12/24 11:48:03,2025/12/11,23:30:00,6:30:00,0:00:00,2,4,4,0.0
2025/12/24 11:48:52,2025/12/12,0:00:00,6:30:00,0:00:00,3,2,2,0.0
2025/12/27 17:20:34,2025/12/13,0:00:00,8:00:00,0:00:00,2,4,1,0.0
2025/12/27 17:21:26,2025/12/14,0:30:00,8:30:00,0:00:00,1,2,1,0.0
2025/12/27 17:22:36,2025/12/15,2:00:00,8:00:00,0:00:00,2,3,2,0.0
2025/12/27 17:23:27,2025/12/16,1:00:00,7:00:00,0:00:00,1,3,1,0.0
2025/12/27 17:25:06,2025/12/17,1:00:00,8:30:00,0:00:00,1,2,1,0.0
2025/12/27 17:26:12,2025/12/18,0:00:00,6:30:00,0:00:00,2,4,1,0.0
2025/12/27 17:30:05,2025/12/19,0:30:00,6:30:00,0:00:00,4,4,1,0.0
2025/12/27 17:33:18,2025/12/20,1:00:00,8:30:00,0:00:00,1,3,3,0.0
2025/12/27 18:10:42,2025/12/21,1:00:00,8:30:00,0:00:00,1,1,4,1.0
2025/12/27 18:11:20,2025/12/22,1:30:00,8:50:00,0:00:00,1,1,4,0.0
2025/12/27 18:17:09,2025/12/23,1:20:00,8:30:00,0:00:00,1,2,3,0.0
2025/12/27 18:17:55,2025/12/24,2:10:00,8:50:00,0:00:00,1,2,4,1.0
2025/12/27 18:18:36,2025/12/25,0:00:00,7:10:00,0:00:00,1,4,4,0.0
2025/12/27 18:19:23,2025/12/26,23:20:00,6:50:00,0:00:00,1,3,1,0.0
2025/12/27 18:20:01,2025/12/27,2:00:00,10:40:00,0:00:00,1,1,4,0.0
2025/12/29 1:05:23,2025/12/28,0:30:00,7:30:00,0:00:00,2,4,1,0.0
2025/12/30 0:03:54,2025/12/29,1:30:00,9:40:00,0:00:00,2,1,1,0.0
2025/12/30 9:52:29,2025/12/30,0:50:00,7:40:00,0:00:00,2,4,1,0.0
