Date,Avg_Humidity,Avg_Temperature,Sunshine_Duration
2025/10/1,93.0,20.5,0.0
2025/10/2,75.0,22.0,9.8
2025/10/3,69.0,22.8,2.8
2025/10/4,88.0,21.4,0.9
2025/10/5,85.0,23.7,5.3
2025/10/6,77.0,24.3,3.5
2025/10/7,70.0,21.8,0.4
2025/10/8,70.0,23.7,6.9
2025/10/9,64.0,21.3,0.0
2025/10/10,62.0,20.2,5.1
2025/10/11,91.0,17.6,0.0
2025/10/12,87.0,19.9,1.3
2025/10/13,84.0,21.4,1.1
2025/10/14,76.0,18.9,0.1
2025/10/15,89.0,17.5,0.0
2025/10/16,96.0,18.1,0.1
2025/10/17,80.0,19.8,9.8
2025/10/18,81.0,21.0,5.2
2025/10/19,75.0,20.1,1.4
2025/10/20,90.0,17.2,0.0
2025/10/21,66.0,15.6,0.0
2025/10/22,87.0,12.3,0.0
2025/10/23,71.0,14.3,2.3
2025/10/24,76.0,13.6,0.1
2025/10/25,97.0,12.8,0.0
2025/10/26,100.0,15.1,0.0
2025/10/27,75.0,18.0,2.7
2025/10/28,48.0,16.5,4.2
2025/10/29,51.0,14.0,2.8
2025/10/30,63.0,14.3,7.5
2025/10/31,79.0,14.5,0.8
